"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"f1",1,11012141.2515625,11012141.2515625,1.23422308525091,0.267009121084591
"f2",1,443470.951562501,443470.951562501,0.0497035112021437,0.823651912385181
"f3",1,2765050.7640625,2765050.7640625,0.309902443760643,0.577936808835434
"f4",1,535401.751562501,535401.751562501,0.0600069674522608,0.80656431849528
"f5",1,14445335.6265625,14445335.6265625,1.61900999062931,0.203697074111575
"f6",1,1816357.8515625,1816357.8515625,0.203574467513944,0.652005504674305
"Residuals",633,5647832628.91406,8922326.4279843,NA,NA
