"","Estimate","Std. Error","t value","Pr(>|t|)",Confidence interval,
p"(Interceppt)"p,1445.5671875,118.0725837937,12.2430384858,4.41392593333763E-031,-4316501.71556846,4319392.84994346
"f1",131.1734375,118.0725837937,1.1109559331,0.2670091211,-391687.341067126,391949.687942126
"f2",-26.3234375,118.0725837937,-0.2229428429,0.8236519124,78602.478052172,-78655.124927172
"f3",-65.7296875,118.0725837937,-0.5566888213,0.5779368088,196270.578988587,-196402.038363587
"f4",-28.9234375,118.0725837937,-0.2449631961,0.8065643185,86366.1465675646,-86423.9934425646
"f5",150.2359375,118.0725837937,1.2724032343,0.2036970741,-448608.468403538,448908.940278538
"f6",53.2734375,118.0725837937,0.4511922733,0.6520055047,-159075.888240565,159182.435115565
