"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",7.07219033457167,0.0173440625589706,407.75858081265,0
"f1",0.103911973453558,0.0173604060121284,5.98557276719008,3.7084924558832e-09
"f2",0.0178839286784267,0.01735960788248,1.03020349304525,0.303328897393007
"f3",0.0263768575503827,0.0173682235002348,1.51868482980002,0.129367698795263
"f4",0.0246360152203765,0.0173506439634567,1.41989053964014,0.15615804853353
"f5",0.021868381958075,0.0173802947973142,1.2582284830666,0.208797727915697
"f6",0.019702136011541,0.0173652129192479,1.13457497487421,0.257005753836696
