"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1640.23418463058,269.818641683444,6.07902469005432,1.91503938118463e-09
"f1",252.27029399035,269.818641683445,0.934962434086808,0.350105410729486
"f5",245.223068529072,269.818641683444,0.908844055396186,0.363721318780095
"f1:f5",179.396164190212,269.818641683444,0.664876833827823,0.506331500839608
