f1,f2,f3,f4,f5,f6,time
1,-1,1,-1,-1,-1,1378
1,-1,1,-1,-1,-1,964
1,-1,1,-1,-1,-1,1075
1,-1,1,-1,-1,-1,982
1,-1,1,-1,-1,-1,1155
1,-1,1,-1,-1,-1,1254
1,-1,1,-1,-1,-1,1377
1,-1,1,-1,-1,-1,957
1,-1,1,-1,-1,-1,1458
-1,-1,1,1,1,1,1929
-1,-1,1,1,1,1,3326
-1,-1,1,1,1,1,984
-1,-1,1,1,1,1,2205
-1,-1,1,1,1,1,1091
-1,-1,1,1,1,1,1001
-1,-1,1,1,1,1,1036
-1,-1,1,1,1,1,5287
-1,-1,1,1,1,1,1324
-1,-1,1,1,1,1,909
1,1,1,1,-1,-1,1039
1,1,1,1,-1,-1,1595
1,1,1,1,-1,-1,1296
1,1,1,1,-1,-1,1075
1,1,1,1,-1,-1,1219
1,1,1,1,-1,-1,1394
1,1,1,1,-1,-1,1002
1,1,1,1,-1,-1,1140
1,1,1,1,-1,-1,1213
1,1,1,1,-1,-1,1289
1,-1,1,1,1,1,1300
1,-1,1,1,1,1,1023
1,-1,1,1,1,1,1850
1,-1,1,1,1,1,1392
1,-1,1,1,1,1,1865
1,-1,1,1,1,1,1350
1,-1,1,1,1,1,1458
1,-1,1,1,1,1,1012
1,-1,1,1,1,1,1071
1,-1,1,1,1,1,1131
1,-1,-1,1,1,-1,881
1,-1,-1,1,1,-1,1103
1,-1,-1,1,1,-1,1686
1,-1,-1,1,1,-1,725
1,-1,-1,1,1,-1,733
1,-1,-1,1,1,-1,1081
1,-1,-1,1,1,-1,817
1,-1,-1,1,1,-1,1176
1,-1,-1,1,1,-1,881
1,-1,-1,1,1,-1,1103
-1,-1,1,-1,-1,-1,949
-1,-1,1,-1,-1,-1,971
-1,-1,1,-1,-1,-1,819
-1,-1,1,-1,-1,-1,840
-1,-1,1,-1,-1,-1,933
-1,-1,1,-1,-1,-1,976
-1,-1,1,-1,-1,-1,767
-1,-1,1,-1,-1,-1,1028
-1,-1,1,-1,-1,-1,982
-1,-1,1,-1,-1,-1,873
1,1,1,-1,-1,1,1434
