f1,f2,f3,f4,f5,f6,time
-1,1,1,1,-1,-1,6.699500340161678
-1,1,1,1,-1,-1,7.186144304522325
-1,1,1,1,-1,-1,6.815639990074331
1,-1,1,1,-1,1,7.321849713788356
1,-1,1,1,-1,1,7.246368080102461
1,-1,1,1,-1,1,7.336936913707618
1,-1,1,1,-1,1,7.286191714702382
1,-1,1,1,-1,1,7.3031700512368
1,-1,1,1,-1,1,7.176254532017144
1,-1,1,1,-1,1,7.2456550675945355
1,-1,1,1,-1,1,7.201916317531627
1,-1,1,1,-1,1,7.3098814858247865
1,-1,1,1,-1,1,9.380758024267314
-1,-1,1,-1,1,1,6.778784897685177
-1,-1,1,-1,1,1,6.882437470997847
-1,-1,1,-1,1,1,7.083387847625295
-1,-1,1,-1,1,1,6.620073206530356
-1,-1,1,-1,1,1,6.79794041297493
-1,-1,1,-1,1,1,7.234898420314831
-1,-1,1,-1,1,1,7.224753405767971
-1,-1,1,-1,1,1,6.774223886357614
-1,-1,1,-1,1,1,6.75110146893676
-1,-1,1,-1,1,1,7.170888478512505
1,1,1,-1,1,-1,6.86484777797086
1,1,1,-1,1,-1,7.087573705557973
1,1,1,-1,1,-1,7.113142108707088
1,1,1,-1,1,-1,7.295735072749282
1,1,1,-1,1,-1,7.242797922793756
1,1,1,-1,1,-1,6.834108738813838
1,1,1,-1,1,-1,6.878326468291325
1,1,1,-1,1,-1,6.985641817639208
1,1,1,-1,1,-1,6.9363427358340495
1,1,1,-1,1,-1,6.742880635791903
-1,1,1,-1,-1,1,6.593044534142437
-1,1,1,-1,-1,1,6.698268054115413
-1,1,1,-1,-1,1,6.579251212010101
-1,1,1,-1,-1,1,8.696175846944678
-1,1,1,-1,-1,1,6.92951677076365
-1,1,1,-1,-1,1,6.93537044601511
-1,1,1,-1,-1,1,6.721425700790643
-1,1,1,-1,-1,1,6.812345094177479
-1,1,1,-1,-1,1,6.684611727667927
-1,1,1,-1,-1,1,6.55250788703459
1,-1,1,-1,-1,-1,6.982862751468942
1,-1,1,-1,-1,-1,7.228388451573604
1,-1,1,-1,-1,-1,6.871091294610546
1,-1,1,-1,-1,-1,6.980075940561763
1,-1,1,-1,-1,-1,6.889591308354466
1,-1,1,-1,-1,-1,7.051855622955894
1,-1,1,-1,-1,-1,7.134093721192866
1,-1,1,-1,-1,-1,7.227662498728654
1,-1,1,-1,-1,-1,6.863803391452954
1,-1,1,-1,-1,-1,7.284820912568604
-1,-1,1,1,1,1,7.564757012905729
-1,-1,1,1,1,1,8.109525659752872
-1,-1,1,1,1,1,6.891625897052253
-1,-1,1,1,1,1,7.6984827878809465
-1,-1,1,1,1,1,6.994849985833071
-1,-1,1,1,1,1,6.90875477931522
-1,-1,1,1,1,1,6.943122422819428
-1,-1,1,1,1,1,8.57300625623545
-1,-1,1,1,1,1,7.188412736496954
-1,-1,1,1,1,1,6.812345094177479
1,1,1,1,-1,-1,6.946013991099227
1,1,1,1,-1,-1,7.374629015218945
1,1,1,1,-1,-1,7.16703787691222
1,1,1,1,-1,-1,6.980075940561763
1,1,1,1,-1,-1,7.105786129481271
1,1,1,1,-1,-1,7.2399325913204695
1,1,1,1,-1,-1,6.90975328164481
1,1,1,1,-1,-1,7.038783541388542
1,1,1,1,-1,-1,7.10085190894405
1,1,1,1,-1,-1,7.161622002939187
1,-1,1,1,1,1,7.170119543449628
1,-1,1,1,1,1,6.930494765951626
1,-1,1,1,1,1,7.52294091807237
1,-1,1,1,1,1,7.238496840894365
1,-1,1,1,1,1,7.5310163320779155
1,-1,1,1,1,1,7.2078598714324755
1,-1,1,1,1,1,7.284820912568604
1,-1,1,1,1,1,6.919683849847411
1,-1,1,1,1,1,6.976348070447749
1,-1,1,1,1,1,7.030857476116121
1,-1,-1,1,1,-1,881
1,-1,-1,1,1,-1,1103
1,-1,-1,1,1,-1,1686
1,-1,-1,1,1,-1,725
1,-1,-1,1,1,-1,733
1,-1,-1,1,1,-1,1081
1,-1,-1,1,1,-1,817
1,-1,-1,1,1,-1,1176
1,-1,-1,1,1,-1,881
1,-1,-1,1,1,-1,1103
-1,-1,1,-1,-1,-1,6.855408798609928
-1,-1,1,-1,-1,-1,6.878326468291325
-1,-1,1,-1,-1,-1,6.70808408385307
-1,-1,1,-1,-1,-1,6.733401891837359
-1,-1,1,-1,-1,-1,6.838405200847344
-1,-1,1,-1,-1,-1,6.883462586413092
-1,-1,1,-1,-1,-1,6.642486801367256
-1,-1,1,-1,-1,-1,6.93537044601511
-1,-1,1,-1,-1,-1,6.889591308354466
-1,-1,1,-1,-1,-1,6.771935555839602
1,1,1,-1,-1,1,7.2682230211595655
1,1,1,-1,-1,1,8.796641458940915
1,1,1,-1,-1,1,7.455876687491824
1,1,1,-1,-1,1,6.806829360392176
1,1,1,-1,-1,1,7.175489713624222
1,1,1,-1,-1,1,7.29776828253138
1,1,1,-1,-1,1,7.27931883541462
1,1,1,-1,-1,1,7.059617628291383
1,1,1,-1,-1,1,6.928537818164665
1,1,1,-1,-1,1,7.578145472419466
-1,1,1,-1,1,-1,9.438829609615144
-1,1,1,-1,1,-1,6.429719478039138
-1,1,1,-1,1,-1,6.97166860472579
-1,1,1,-1,1,-1,6.790097235513905
-1,1,1,-1,1,-1,6.862757913051401
-1,1,1,-1,1,-1,7.064759027791802
-1,1,1,-1,1,-1,6.773080375655535
-1,1,1,-1,1,-1,6.687108607866515
-1,1,1,-1,1,-1,6.675823221634848
-1,1,1,-1,1,-1,6.843749949006225
1,-1,1,-1,1,1,7.114769448366463
1,-1,1,-1,1,1,7.010311867307229
1,-1,1,-1,1,1,7.149131598557407
1,-1,1,-1,1,1,7.063903961472068
1,-1,1,-1,1,1,7.1204443723924875
1,-1,1,-1,1,1,7.181591944611865
1,-1,1,-1,1,1,7.104144092987527
1,-1,1,-1,1,1,6.939253946041508
1,-1,1,-1,1,1,7.3395376954076745
1,-1,1,-1,1,1,7.688913336864796
-1,-1,1,1,-1,1,7.234177179749849
-1,-1,1,1,-1,1,6.668228248417403
-1,-1,1,1,-1,1,6.828712071641684
-1,-1,1,1,-1,1,6.813444599510896
-1,-1,1,1,-1,1,6.860663671448287
-1,-1,1,1,-1,1,7.050122520269059
-1,-1,1,1,-1,1,6.694562058521095
-1,-1,1,1,-1,1,6.74993119378857
-1,-1,1,1,-1,1,6.704414354964107
-1,-1,1,1,-1,1,6.626717749249025
-1,-1,-1,1,1,-1,6.934397209928558
-1,-1,-1,1,1,-1,6.893656354602635
-1,-1,-1,1,1,-1,6.795705775173514
-1,-1,-1,1,1,-1,7.20414929203594
-1,-1,-1,1,1,-1,6.794586580876499
-1,-1,-1,1,1,-1,7.052721049232323
-1,-1,-1,1,1,-1,6.843749949006225
-1,-1,-1,1,1,-1,6.951772164398911
-1,-1,-1,1,1,-1,6.955592608396297
-1,-1,-1,1,1,-1,6.870053411798126
1,-1,1,1,-1,-1,7.071573364211532
1,-1,1,1,-1,-1,7.098375638590786
1,-1,1,1,-1,-1,7.317876198626496
1,-1,1,1,-1,-1,6.8885724595653635
1,-1,1,1,-1,-1,7.116394144093465
1,-1,1,1,-1,-1,7.478169694159785
1,-1,1,1,-1,-1,7.115582126184454
1,-1,1,1,-1,-1,7.074963197966044
1,-1,1,1,-1,-1,7.030857476116121
1,-1,1,1,-1,-1,8.273336598504486
1,1,1,-1,1,1,7.260522598089852
1,1,1,-1,1,1,7.00033446027523
1,1,1,-1,1,1,7.360103972989152
1,1,1,-1,1,1,7.20934025660291
1,1,1,-1,1,1,7.157735484249907
1,1,1,-1,1,1,7.143617602704121
1,1,1,-1,1,1,6.906754778648554
1,1,1,-1,1,1,7.511524648390866
1,1,1,-1,1,1,7.202661196523238
1,1,1,-1,1,1,7.1846291527173145
1,-1,1,-1,-1,1,7.273786317844895
1,-1,1,-1,-1,1,7.337587743538596
1,-1,1,-1,-1,1,7.373374309910049
1,-1,1,-1,-1,1,7.1098794630722715
1,-1,1,-1,-1,1,6.807934943699926
1,-1,1,-1,-1,1,7.028201432058005
1,-1,1,-1,-1,1,7.086737934510577
1,-1,1,-1,-1,1,7.497207223203318
1,-1,1,-1,-1,1,7.5678626054638825
1,-1,1,-1,-1,1,7.071573364211532
1,1,1,1,-1,1,7.07326971745971
1,1,1,1,-1,1,7.299797366758161
1,1,1,1,-1,1,7.177782416195197
1,1,1,1,-1,1,7.270312886079025
1,1,1,1,-1,1,7.228388451573604
1,1,1,1,-1,1,7.335633981927201
1,1,1,1,-1,1,7.1569563646156364
1,1,1,1,-1,1,7.288244401020124
1,1,1,1,-1,1,7.143617602704121
1,1,1,1,-1,1,7.305860032684009
-1,-1,1,1,1,-1,6.771935555839602
-1,-1,1,1,1,-1,6.882437470997847
-1,-1,1,1,1,-1,6.8001700683022
-1,-1,1,1,1,-1,6.970730078143525
-1,-1,1,1,1,-1,6.933423025730715
-1,-1,1,1,1,-1,6.93828448401696
-1,-1,1,1,1,-1,7.193685818395112
-1,-1,1,1,1,-1,7.334981878871814
-1,-1,1,1,1,-1,6.747586526829315
