"","Df","Sum Sq","Mean Sq","F value","Pr(>F)",SSA/SST (out of 1),pSSA/SST (ppercentage) OR Percentage contributionp,F-Test Passed factors
"f2:f3:f4:f6",1,7140883.76406251,7140883.76406251,0.8003990727,0.3713477615,0.0012574523,0.12574523,FALSE
"f2:f3:f5:f6",1,24385555.2015625,24385555.2015625,2.733299745,0.0988209247,0.0042941007,0.42941007,FALSE
"f2:f4:f5:f6",1,1657202.3265625,1657202.3265625,0.1857505666,0.6666384106,0.00029182,0.029182,FALSE
"f3:f4:f5:f6",1,10188631.2515625,10188631.2515625,1.1420114478,0.2856753444,0.0017941362,0.17941362,FALSE
"f1:f2:f3:f4:f5",1,63900.0390624995,63900.0390624995,0.0071623532,0.9325844075,1.12522843016838E-005,0.0011252284,FALSE
"f1:f2:f3:f4:f6",1,9251313.7640625,9251313.7640625,1.0369504956,0.3089592869,0.0016290821,0.16290821,FALSE
"f1:f2:f3:f5:f6",1,3875.9765624999,3875.9765624999,0.000434446,0.9833778214,6.8252838132468E-007,6.8252838132468E-005,FALSE
"f1:f2:f4:f5:f6",1,19096130.6265625,19096130.6265625,2.1404248761,0.144007591,0.0033626754,0.33626754,FALSE
"f1:f3:f4:f5:f6",1,2793.0765624999,2793.0765624999,0.0003130671,0.9858893314,4.91838377858868E-007,4.91838377858868E-005,FALSE
"f2:f3:f4:f5:f6",1,1127868.2640625,1127868.2640625,0.126419186,0.7223041993,0.0001986086,0.01986086,FALSE
"f1:f2:f3:f4:f5:f6",1,8750433.16406247,8750433.16406247,0.9808083736,0.3224151519,0.0015408811,0.15408811,FALSE
"Residuals",576,5138872830.1,8921654.21892361,NA,NA,0.9049142837,90.49142837,TRUE
,,,,,,1,100,
,,,,,,,,
,,,,,,,,
,Total Degree of Freedom,639,,,,,,
,MST,8887089.80768535,,,,,,
,SST,5678850387.11094,,,,,,
SE,MSE,8921654.21892361,,,,,,
,,,,,,,,
,F-value,0.9961257845,,,,,,
,Critical F-Value,1.1434202,,,,,,
,,,,,,,,
,F-Test,FAIL,,,,,,
,Goodness,9.50857163,,,,,,
,,,,,,,,
,,,,,,,,
,Something,352659.347853114,,,,,,
